codigo_dane,year,cantidad_base_coca_confiscada
19001,2019,4.71373
19001,2020,132.51600000000005
19001,2021,55.292
19001,2022,7.166999999999998
19001,2023,38.78099999999999
19050,2021,8.0
19050,2022,1.5
19075,2019,258.497
19075,2020,430.01
19075,2021,2.98
19075,2022,10.865
19075,2023,4.42
19100,2019,4.996
19100,2021,55.0
19100,2022,13.6
19100,2023,3.08
19110,2019,2676.925
19110,2020,4.25
19110,2021,312.05
19110,2023,859.673
19130,2021,94.0
19130,2023,4.364
19137,2022,259.0
19142,2020,1.3
19142,2021,27.005
19142,2022,851.25
19142,2023,1569.953
19212,2019,507.652
19212,2020,91.925
19212,2021,834.039
19212,2022,4961.414
19212,2023,799.868
19256,2019,4.0
19256,2020,12.622
19256,2022,30.375
19256,2023,5.533
19290,2020,29.063
19300,2019,0.2
19318,2019,197.0
19318,2020,639.671
19318,2021,40.28
19318,2022,6.31
19318,2023,8.83
19355,2019,0.79
19364,2022,1160.445
19364,2023,559.394
19392,2019,0.25
19392,2023,16.096
19418,2021,11.6
19450,2019,109.5
19450,2021,0.717
19450,2022,361.99300000000005
19450,2023,49.72899999999999
19455,2019,2.1350000000000002
19455,2020,0.017
19455,2021,1.142
19455,2022,0.39
19455,2023,858.787
19473,2019,8.556000000000001
19473,2021,56.374
19473,2023,3.206
19513,2022,0.007
19532,2019,387.97
19532,2020,307.323
19532,2021,465.40700000000004
19532,2022,198.40300000000002
19532,2023,118.53200000000001
19533,2019,134.89
19533,2020,687.8689999999999
19533,2021,58.93
19533,2022,431.645
19533,2023,2202.0830000000005
19548,2019,24.7
19548,2020,16.325
19548,2021,28.729999999999997
19548,2022,1.575
19548,2023,28.095
19573,2019,5.0729999999999995
19573,2020,4.099
19573,2021,0.035
19573,2022,0.060000000000000005
19573,2023,10.727
19622,2019,57.0
19622,2020,2.5
19622,2021,2.0
19622,2022,0.15
19622,2023,0.22
19698,2019,3.17
19698,2020,3.245
19698,2021,18.303000000000004
19698,2022,2423.4390000000003
19698,2023,8166.725000000001
19701,2020,28.351
19701,2021,152.20999999999998
19701,2022,286.775
19701,2023,189.337
19780,2019,438.95
19780,2020,181.531
19780,2022,1132.645
19780,2023,2358.236
19785,2021,330.0
19785,2022,0.025
19785,2023,0.034
19807,2019,1.11
19807,2020,0.11800000000000001
19807,2021,0.5
19807,2022,0.06
19807,2023,20.09
19809,2020,908.7030000000001
19809,2021,6.33
19809,2022,17.67
19809,2023,29.48
19821,2019,720.3180000000001
19821,2020,161.002
19821,2021,27.005
19821,2022,2371.443
19845,2019,0.031
19845,2020,0.036
19845,2022,5.035
19845,2023,22.95
