dane_code,year,lab_destruidos_mindef
19022,2019,2.0
19022,2020,3.0
19022,2021,6.0
19022,2022,7.0
19050,2019,1.0
19050,2020,6.0
19050,2022,4.0
19050,2023,10.0
19075,2019,54.0
19075,2020,18.0
19075,2021,1.0
19100,2019,27.0
19100,2020,36.0
19100,2021,55.0
19100,2022,32.0
19100,2023,17.0
19110,2019,51.0
19110,2020,11.0
19110,2021,24.0
19110,2022,1.0
19110,2023,23.0
19130,2019,10.0
19130,2020,5.0
19130,2023,24.0
19137,2019,2.0
19137,2022,1.0
19137,2023,2.0
19142,2019,3.0
19142,2021,6.0
19142,2022,4.0
19142,2023,7.0
19212,2019,23.0
19212,2020,13.0
19212,2021,25.0
19212,2022,21.0
19212,2023,9.0
19256,2019,27.0
19256,2020,19.0
19256,2021,43.0
19256,2022,13.0
19256,2023,23.0
19290,2020,7.0
19290,2021,1.0
19300,2022,1.0
19300,2023,1.0
19318,2019,3.0
19318,2020,26.0
19318,2021,43.0
19318,2022,36.0
19318,2023,55.0
19355,2019,1.0
19364,2019,4.0
19364,2020,2.0
19364,2022,1.0
19364,2023,1.0
19397,2022,1.0
19397,2023,4.0
19418,2019,4.0
19418,2020,6.0
19418,2021,9.0
19418,2022,2.0
19418,2023,2.0
19450,2019,5.0
19450,2020,4.0
19450,2021,14.0
19450,2022,2.0
19455,2019,22.0
19455,2020,1.0
19455,2021,1.0
19455,2023,8.0
19473,2019,18.0
19473,2020,16.0
19473,2021,8.0
19473,2022,2.0
19473,2023,15.0
19517,2019,2.0
19532,2019,15.0
19532,2020,11.0
19532,2021,4.0
19532,2023,2.0
19533,2019,39.0
19533,2020,108.0
19533,2021,26.0
19533,2022,71.0
19533,2023,93.0
19548,2020,2.0
19548,2023,3.0
19622,2019,5.0
19622,2020,2.0
19622,2021,8.0
19698,2019,3.0
19698,2020,5.0
19698,2021,6.0
19698,2022,11.0
19698,2023,25.0
19701,2020,7.0
19701,2021,2.0
19701,2022,5.0
19701,2023,2.0
19780,2019,34.0
19780,2020,39.0
19780,2021,3.0
19780,2022,4.0
19780,2023,7.0
19785,2019,6.0
19785,2020,4.0
19785,2021,3.0
19785,2022,1.0
19785,2023,1.0
19809,2019,9.0
19809,2020,30.0
19809,2021,14.0
19809,2022,10.0
19809,2023,53.0
19821,2019,31.0
19821,2020,10.0
19821,2021,4.0
19821,2022,6.0
