dane_code,ha_with_permit,ha_peremit_in_process,ha_under_illegal_explotation,year
19100,0.0,0.0,38.935165,2019
19100,0.0,0.0,41.262527,2020
19100,0.0,0.0,41.262527,2021
19100,0.0,0.0,41.262527,2022
19100,0.0,0.0,41.262527,2023
19110,0.0,0.0,46.419248,2019
19110,0.0,0.0,46.419248,2020
19110,0.0,0.0,46.419248,2021
19110,0.0,0.0,46.419248,2022
19110,0.0,0.0,46.419248,2023
19256,0.0,0.0,45.607136,2019
19256,0.0,19.174522,8.612572,2020
19256,0.0,19.174522,8.612572,2021
19256,0.0,19.174522,8.612572,2022
19256,0.0,19.174522,8.612572,2023
19318,0.0,0.545304,459.422207,2019
19318,0.0,3.250639,446.141864,2020
19318,0.0,3.250639,446.141864,2021
19318,0.0,3.250639,446.141864,2022
19318,0.0,3.250639,446.141864,2023
19392,0.0,0.0,32.066384,2019
19392,0.0,8.369419,10.463488,2020
19392,0.0,8.369419,10.463488,2021
19392,0.0,8.369419,10.463488,2022
19392,0.0,8.369419,10.463488,2023
19418,0.0,0.0,535.262906,2019
19418,0.0,0.0,570.420002,2020
19418,0.0,0.0,570.420002,2021
19418,0.0,0.0,570.420002,2022
19418,0.0,0.0,570.420002,2023
19450,0.0,0.0,87.739826,2019
19450,0.0,0.0,91.329963,2020
19450,0.0,0.0,91.329963,2021
19450,0.0,0.0,91.329963,2022
19450,0.0,0.0,91.329963,2023
19532,0.0,0.0,5.318591,2019
19532,0.0,0.0,0.135,2020
19532,0.0,0.0,0.135,2021
19532,0.0,0.0,0.135,2022
19532,0.0,0.0,0.135,2023
19533,0.0,0.0,45.517493,2019
19533,0.0,0.0,51.142492,2020
19533,0.0,0.0,51.142492,2021
19533,0.0,0.0,51.142492,2022
19533,0.0,0.0,51.142492,2023
19698,0.0,0.0,58.183251,2019
19698,0.0,0.0,60.815749,2020
19698,0.0,0.0,60.815749,2021
19698,0.0,0.0,60.815749,2022
19698,0.0,0.0,60.815749,2023
19701,0.0,0.0,27.832503,2020
19701,0.0,0.0,27.832503,2021
19701,0.0,0.0,27.832503,2022
19701,0.0,0.0,27.832503,2023
19809,684.002512,127.445117,530.722375,2019
19809,0.0,320.559333,1101.373169,2020
19809,0.0,320.559333,1101.373169,2021
19809,0.0,320.559333,1101.373169,2022
19809,0.0,320.559333,1101.373169,2023
