codigo_dane,year,ninos_icbf,ninos_prescolar
19001,2019,6451,0
19001,2020,6396,0
19001,2021,6379,1070
19001,2022,6496,1348
19001,2023,6551,1542
19022,2019,431,0
19022,2020,419,0
19022,2021,472,16
19022,2022,506,22
19022,2023,547,46
19050,2019,898,0
19050,2020,1104,132
19050,2021,1098,64
19050,2022,1074,564
19050,2023,1127,522
19075,2019,396,0
19075,2020,388,0
19075,2021,397,100
19075,2022,658,193
19075,2023,686,241
19100,2019,1597,0
19100,2020,1726,0
19100,2021,1678,1
19100,2022,1712,82
19100,2023,1751,73
19110,2019,1386,0
19110,2020,1369,0
19110,2021,1425,50
19110,2022,1470,301
19110,2023,1514,360
19130,2019,1747,0
19130,2020,1869,72
19130,2021,2045,89
19130,2022,1903,288
19130,2023,1911,470
19137,2019,1923,0
19137,2020,2114,193
19137,2021,2112,181
19137,2022,2050,895
19137,2023,2100,898
19142,2019,748,0
19142,2020,754,264
19142,2021,812,212
19142,2022,796,414
19142,2023,837,405
19212,2019,1666,0
19212,2020,1633,90
19212,2021,1685,149
19212,2022,1651,311
19212,2023,1658,317
19256,2019,1359,0
19256,2020,1544,126
19256,2021,1635,187
19256,2022,1771,500
19256,2023,1803,517
19290,2019,154,0
19290,2020,258,0
19290,2021,245,0
19290,2022,251,35
19290,2023,267,38
19300,2019,1047,0
19300,2020,1123,0
19300,2021,1119,55
19300,2022,1102,106
19300,2023,1108,141
19318,2019,1062,0
19318,2020,896,54
19318,2021,889,50
19318,2022,1706,400
19318,2023,1524,528
19355,2019,1785,0
19355,2020,1788,0
19355,2021,1899,31
19355,2022,1837,89
19355,2023,1835,257
19364,2019,1277,0
19364,2020,1271,0
19364,2021,1282,13
19364,2022,1298,238
19364,2023,1347,216
19392,2019,396,0
19392,2020,280,0
19392,2021,291,0
19392,2022,421,15
19392,2023,438,16
19397,2019,509,0
19397,2020,607,0
19397,2021,619,13
19397,2022,686,59
19397,2023,709,44
19418,2019,591,0
19418,2020,754,19
19418,2021,776,33
19418,2022,1092,194
19418,2023,1117,326
19450,2019,497,0
19450,2020,615,41
19450,2021,629,63
19450,2022,613,123
19450,2023,627,198
19455,2019,1313,0
19455,2020,1368,24
19455,2021,1407,75
19455,2022,1338,390
19455,2023,1374,382
19473,2019,2256,0
19473,2020,2353,0
19473,2021,2333,12
19473,2022,2291,334
19473,2023,2360,537
19513,2019,465,0
19513,2020,529,0
19513,2021,552,3
19513,2022,536,80
19513,2023,530,75
19517,2019,1805,0
19517,2020,2248,0
19517,2021,2425,71
19517,2022,2418,483
19517,2023,2433,502
19532,2019,753,0
19532,2020,1106,125
19532,2021,1118,257
19532,2022,1099,347
19532,2023,1109,455
19533,2019,803,0
19533,2020,796,0
19533,2021,794,1
19533,2022,804,0
19533,2023,835,62
19548,2019,2145,0
19548,2020,2134,0
19548,2021,2165,70
19548,2022,2165,459
19548,2023,2219,571
19573,2019,2447,0
19573,2020,2485,0
19573,2021,2471,1
19573,2022,2466,131
19573,2023,2393,225
19585,2019,428,0
19585,2020,412,0
19585,2021,419,0
19585,2022,489,27
19585,2023,524,100
19622,2019,516,0
19622,2020,514,0
19622,2021,515,1
19622,2022,485,26
19622,2023,496,16
19693,2019,323,0
19693,2020,279,0
19693,2021,291,11
19693,2022,264,8
19693,2023,286,0
19698,2019,4843,0
19698,2020,5021,405
19698,2021,5008,495
19698,2022,4988,1145
19698,2023,5188,1447
19701,2019,341,0
19701,2020,346,0
19701,2021,267,3
19701,2022,499,0
19701,2023,526,0
19743,2019,2164,0
19743,2020,2204,0
19743,2021,2385,2
19743,2022,2314,300
19743,2023,2378,366
19760,2019,497,0
19760,2020,486,0
19760,2021,496,0
19760,2022,509,17
19760,2023,531,20
19780,2019,1232,0
19780,2020,1355,0
19780,2021,1377,1
19780,2022,1356,224
19780,2023,1444,283
19785,2019,207,0
19785,2020,197,0
19785,2021,195,0
19785,2022,266,22
19785,2023,266,18
19807,2019,1221,0
19807,2020,1235,0
19807,2021,1221,18
19807,2022,1164,162
19807,2023,1175,311
19809,2019,708,0
19809,2020,962,125
19809,2021,1033,93
19809,2022,960,369
19809,2023,965,443
19821,2019,1425,0
19821,2020,1349,28
19821,2021,1347,157
19821,2022,1347,496
19821,2023,1429,529
19824,2019,118,0
19824,2020,1239,0
19824,2021,1226,3
19824,2022,1231,53
19824,2023,1323,46
19845,2019,1393,0
19845,2020,1351,0
19845,2021,1360,0
19845,2022,1329,60
19845,2023,1369,56
