codigo_dane,año,violenc_domest_polinal
19001,2019,1737.0
19001,2020,1290.0
19001,2021,1294.0
19001,2022,1503.0
19001,2023,2260.0
19022,2019,11.0
19022,2020,18.0
19022,2021,22.0
19022,2022,9.0
19022,2023,8.0
19050,2019,16.0
19050,2020,7.0
19050,2021,17.0
19050,2022,11.0
19050,2023,13.0
19075,2019,7.0
19075,2020,12.0
19075,2021,18.0
19075,2022,12.0
19075,2023,22.0
19100,2019,25.0
19100,2020,19.0
19100,2021,19.0
19100,2022,35.0
19100,2023,71.0
19110,2019,20.0
19110,2020,15.0
19110,2021,24.0
19110,2022,19.0
19110,2023,11.0
19130,2019,47.0
19130,2020,36.0
19130,2021,62.0
19130,2022,57.0
19130,2023,73.0
19137,2019,27.0
19137,2020,10.0
19137,2021,15.0
19137,2022,19.0
19137,2023,65.0
19142,2019,86.0
19142,2020,52.0
19142,2021,60.0
19142,2022,63.0
19142,2023,71.0
19212,2019,15.0
19212,2020,26.0
19212,2021,20.0
19212,2022,14.0
19212,2023,58.0
19256,2019,47.0
19256,2020,77.0
19256,2021,22.0
19256,2022,38.0
19256,2023,87.0
19290,2019,5.0
19290,2020,3.0
19290,2021,2.0
19290,2022,2.0
19290,2023,7.0
19300,2019,44.0
19300,2020,38.0
19300,2021,56.0
19300,2022,34.0
19300,2023,52.0
19318,2019,22.0
19318,2020,13.0
19318,2021,16.0
19318,2022,18.0
19318,2023,39.0
19355,2019,22.0
19355,2020,29.0
19355,2021,29.0
19355,2022,48.0
19355,2023,64.0
19364,2019,1.0
19364,2020,3.0
19364,2021,4.0
19364,2022,9.0
19364,2023,10.0
19392,2019,14.0
19392,2020,12.0
19392,2021,22.0
19392,2022,16.0
19392,2023,15.0
19397,2019,14.0
19397,2020,19.0
19397,2021,38.0
19397,2022,22.0
19397,2023,27.0
19418,2019,2.0
19418,2020,1.0
19418,2021,4.0
19418,2022,2.0
19418,2023,2.0
19450,2019,23.0
19450,2020,18.0
19450,2021,19.0
19450,2022,25.0
19450,2023,20.0
19455,2019,40.0
19455,2020,44.0
19455,2021,61.0
19455,2022,26.0
19455,2023,43.0
19473,2019,20.0
19473,2020,15.0
19473,2021,34.0
19473,2022,16.0
19473,2023,38.0
19513,2019,14.0
19513,2020,2.0
19513,2021,11.0
19513,2022,8.0
19513,2023,8.0
19517,2019,5.0
19517,2020,24.0
19517,2021,14.0
19517,2022,14.0
19517,2023,30.0
19532,2019,47.0
19532,2020,23.0
19532,2021,48.0
19532,2022,83.0
19532,2023,98.0
19533,2019,5.0
19533,2020,4.0
19533,2021,6.0
19533,2022,7.0
19533,2023,2.0
19548,2019,110.0
19548,2020,72.0
19548,2021,92.0
19548,2022,79.0
19548,2023,137.0
19573,2019,80.0
19573,2020,88.0
19573,2021,104.0
19573,2022,143.0
19573,2023,253.0
19585,2019,7.0
19585,2020,3.0
19585,2021,16.0
19585,2022,14.0
19585,2023,16.0
19622,2019,13.0
19622,2020,7.0
19622,2021,23.0
19622,2022,16.0
19622,2023,4.0
19693,2019,3.0
19693,2020,11.0
19693,2021,2.0
19693,2022,8.0
19693,2023,12.0
19698,2019,306.0
19698,2020,202.0
19698,2021,174.0
19698,2022,255.0
19698,2023,328.0
19701,2020,2.0
19701,2021,2.0
19701,2022,3.0
19701,2023,5.0
19743,2019,25.0
19743,2020,30.0
19743,2021,17.0
19743,2022,10.0
19743,2023,36.0
19760,2019,11.0
19760,2020,11.0
19760,2021,26.0
19760,2022,9.0
19760,2023,24.0
19780,2019,16.0
19780,2020,18.0
19780,2021,13.0
19780,2022,31.0
19780,2023,13.0
19785,2019,3.0
19785,2020,5.0
19785,2021,4.0
19785,2022,2.0
19785,2023,5.0
19807,2019,68.0
19807,2020,51.0
19807,2021,65.0
19807,2022,87.0
19807,2023,164.0
19809,2019,6.0
19809,2020,5.0
19809,2021,7.0
19809,2022,7.0
19809,2023,8.0
19821,2019,69.0
19821,2020,12.0
19821,2021,30.0
19821,2022,11.0
19821,2023,17.0
19824,2019,19.0
19824,2020,8.0
19824,2021,13.0
19824,2022,7.0
19824,2023,30.0
19845,2019,42.0
19845,2020,42.0
19845,2021,39.0
19845,2022,37.0
19845,2023,61.0
